% Recoded by WEISmonths, Sun Nov 28 21:57:00 2004
% from http://www.ku.edu/~keds/data.dir/balk.html
*vertices 325
1 "AFG" [1-*]
2 "AFR" [1-*]
3 "ALB" [1-*]
4 "ALBMED" [1-*]
5 "ALG" [1-*]
6 "AMN" [1-*]
7 "ANG" [1-*]
8 "ARB" [1-*]
9 "ARBGC" [1-*]
10 "ARBLG" [1-*]
11 "ARG" [1-*]
12 "ARM" [1-*]
13 "ASN" [1-*]
14 "AUL" [1-*]
15 "AULGOV" [1-*]
16 "AULMNC" [1-*]
17 "AUS" [1-*]
18 "AUSMED" [1-*]
19 "AUSPOL" [1-*]
20 "AZB" [1-*]
21 "BAH" [1-*]
22 "BAL" [1-*]
23 "BEL" [1-*]
24 "BHU" [1-*]
25 "BNG" [1-*]
26 "BOL" [1-*]
27 "BOS" [1-*]
28 "BOSCRO" [1-*]
29 "BOSGOV" [1-*]
30 "BOSHRC" [1-*]
31 "BOSMIL" [1-*]
32 "BOSMOS" [1-*]
33 "BOSOPP" [1-*]
34 "BOSREF" [1-*]
35 "BOSSER" [1-*]
36 "BOSSERGOV" [1-*]
37 "BOSSERMIL" [1-*]
38 "BRA" [1-*]
39 "BRS" [1-*]
40 "BRSGOV" [1-*]
41 "BUI" [1-*]
42 "BUL" [1-*]
43 "BUR" [1-*]
44 "BUROPP" [1-*]
45 "CAM" [1-*]
46 "CAN" [1-*]
47 "CANMIL" [1-*]
48 "CAU" [1-*]
49 "CHE" [1-*]
50 "CHL" [1-*]
51 "CHN" [1-*]
52 "CIS" [1-*]
53 "COL" [1-*]
54 "CON" [1-*]
55 "COS" [1-*]
56 "CRO" [1-*]
57 "CROGOV" [1-*]
58 "CROMED" [1-*]
59 "CROOPP" [1-*]
60 "CROSER" [1-*]
61 "CSCE" [1-*]
62 "CUB" [1-*]
63 "CYP" [1-*]
64 "CYPGRC" [1-*]
65 "CYPTUR" [1-*]
66 "CZE" [1-*]
67 "CZR" [1-*]
68 "CZRGOV" [1-*]
69 "DAH" [1-*]
70 "DEN" [1-*]
71 "DJI" [1-*]
