% Recoded by KEDSmonths, Sun Nov 28 12:48:43 2004
*vertices 174
1 "AFG" [1-*]
2 "ALB" [1-*]
3 "ALG" [1-*]
4 "ANG" [1-*]
5 "ARB" [1-*]
6 "ARG" [1-*]
7 "ARM" [1-*]
8 "AUL" [1-*]
9 "AUS" [1-*]
10 "BAH" [1-*]
11 "BAM" [1-*]
12 "BEL" [1-*]
13 "BNG" [1-*]
14 "BOL" [1-*]
15 "BOS" [1-*]
16 "BRA" [1-*]
17 "BRS" [1-*]
18 "BUI" [1-*]
19 "BUL" [1-*]
20 "BUR" [1-*]
21 "CAM" [1-*]
22 "CAN" [1-*]
23 "CEY" [1-*]
24 "CHA" [1-*]
25 "CHL" [1-*]
26 "CHN" [1-*]
27 "COL" [1-*]
28 "COM" [1-*]
29 "CON" [1-*]
30 "COS" [1-*]
31 "CPV" [1-*]
32 "CRO" [1-*]
33 "CUB" [1-*]
34 "CYP" [1-*]
35 "CZE" [1-*]
36 "DAH" [1-*]
37 "DEN" [1-*]
38 "DJI" [1-*]
39 "DOA" [1-*]
40 "DOM" [1-*]
41 "ECU" [1-*]
42 "EEC" [1-*]
43 "ELS" [1-*]
44 "ERT" [1-*]
45 "EST" [1-*]
46 "ETH" [1-*]
47 "FGU" [1-*]
48 "FIJ" [1-*]
49 "FIN" [1-*]
50 "FRN" [1-*]
51 "GAB" [1-*]
52 "GAM" [1-*]
53 "GCC" [1-*]
54 "GEO" [1-*]
55 "GER" [1-*]
56 "GHA" [1-*]
57 "GRC" [1-*]
58 "GRE" [1-*]
59 "GUA" [1-*]
60 "GUE" [1-*]
61 "GUY" [1-*]
62 "HAI" [1-*]
63 "HOK" [1-*]
64 "HON" [1-*]
65 "HUN" [1-*]
66 "ICE" [1-*]
67 "ICJ" [1-*]
68 "IDI" [1-*]
69 "IDO" [1-*]
70 "IGO" [1-*]
71 "INT" [1-*]
72 "IRA" [1-*]
73 "IRE" [1-*]
74 "IRN" [1-*]
75 "IRQ" [1-*]
76 "ISL" [1-*]
77 "ISR" [1-*]
78 "ITA" [1-*]
79 "IVO" [1-*]
80 "JAM" [1-*]
81 "JAP" [1-*]
82 "JOR" [1-*]
83 "KEN" [1-*]
84 "KON" [1-*]
85 "KOS" [1-*]
86 "KUR" [1-*]
87 "KUW" [1-*]
88 "LAO" [1-*]
89 "LAT" [1-*]
90 "LBY" [1-*]
91 "LEB" [1-*]
92 "LIB" [1-*]
93 "LIC" [1-*]
94 "LTH" [1-*]
95 "LUX" [1-*]
96 "MAC" [1-*]
97 "MAL" [1-*]
98 "MAU" [1-*]
99 "MAW" [1-*]
100 "MEX" [1-*]
101 "MLI" [1-*]
102 "MLT" [1-*]
103 "MOM" [1-*]
104 "MON" [1-*]
105 "MOR" [1-*]
106 "MOZ" [1-*]
107 "NAT" [1-*]
108 "NEP" [1-*]
109 "NEW" [1-*]
110 "NGO" [1-*]
111 "NIC" [1-*]
112 "NIG" [1-*]
113 "NIR" [1-*]
114 "NMB" [1-*]
115 "NOR" [1-*]
116 "NTH" [1-*]
117 "OAS" [1-*]
118 "OPC" [1-*]
119 "PAK" [1-*]
120 "PAL" [1-*]
121 "PAN" [1-*]
122 "PAP" [1-*]
123 "PAR" [1-*]
124 "PER" [1-*]
125 "PHI" [1-*]
