% Recoded by WEISmonths, Mon Nov 29 02:11:48 2004
% from http://www.ku.edu/~keds/data.html
*vertices 485
1 "ACC" [1-*]
2 "AFD" [1-*]
3 "AFG" [1-*]
4 "AFGTAL" [1-*]
5 "AFR" [1-*]
6 "AFRBNK" [1-*]
7 "AFRFTZ" [1-*]
8 "ALB" [1-*]
9 "ALG" [1-*]
10 "ALGGOV" [1-*]
11 "ALGMIL" [1-*]
12 "ALQ" [1-*]
13 "AMF" [1-*]
14 "AMN" [1-*]
15 "ANG" [1-*]
16 "ANT" [1-*]
17 "ARB" [1-*]
18 "ARBBA" [1-*]
19 "ARBMED" [1-*]
20 "ARBNGO" [1-*]
21 "ARG" [1-*]
22 "ARL" [1-*]
23 "ARM" [1-*]
24 "ARMGOV" [1-*]
25 "AUL" [1-*]
26 "AULGOV" [1-*]
27 "AUS" [1-*]
28 "AUSISL" [1-*]
29 "AUSJW" [1-*]
30 "AUSPOL" [1-*]
31 "AZB" [1-*]
32 "AZBGOV" [1-*]
33 "BAH" [1-*]
34 "BAHGOV" [1-*]
35 "BAHOPP" [1-*]
36 "BAM" [1-*]
37 "BEL" [1-*]
38 "BHU" [1-*]
39 "BIA" [1-*]
40 "BLT" [1-*]
41 "BNG" [1-*]
42 "BNGGOV" [1-*]
43 "BOL" [1-*]
44 "BOS" [1-*]
45 "BOSCRO" [1-*]
46 "BOSMOS" [1-*]
47 "BOT" [1-*]
48 "BRA" [1-*]
49 "BRS" [1-*]
50 "BRU" [1-*]
51 "BUI" [1-*]
52 "BUL" [1-*]
53 "BULGOV" [1-*]
54 "BUR" [1-*]
55 "CAM" [1-*]
56 "CAMOPP" [1-*]
57 "CAN" [1-*]
58 "CANGOV" [1-*]
59 "CAO" [1-*]
60 "CAU" [1-*]
61 "CEN" [1-*]
62 "CHA" [1-*]
63 "CHL" [1-*]
64 "CHN" [1-*]
65 "CHNGOV" [1-*]
66 "CHR" [1-*]
67 "CIS" [1-*]
68 "COL" [1-*]
69 "COM" [1-*]
70 "CON" [1-*]
71 "COS" [1-*]
